time_seconds,power
0.000000,99.56
10.158014,99.56
20.315872,99.56
30.473912,99.56
40.632459,99.56
50.790614,99.56
60.949681,99.56
71.108582,99.56
81.267179,99.56
91.425098,99.4
101.583071,99.4
111.740668,99.4
121.897995,99.4
132.054465,99.24
142.211642,99.24
152.369105,99.24
162.525645,99.08
172.682944,99.08
182.840158,99.08
192.996941,99.08
203.153522,98.93
213.310111,98.93
223.466763,98.93
233.623457,98.93
243.780627,98.77
253.937593,98.77
264.093871,98.77
274.250724,98.61
284.407000,98.61
294.563784,98.61
304.719968,98.45
314.877129,98.45
325.033837,98.45
335.190636,98.45
345.347657,98.29
355.504821,98.29
365.662036,98.29
375.819588,98.13
385.976588,98.13
396.134366,98.13
406.291394,97.98
416.448950,97.98
426.606765,97.98
436.764312,97.82
446.921732,97.82
457.079545,97.82
467.237912,97.66
477.395544,97.66
487.553319,97.66
497.711481,97.5
507.869302,97.5
518.026834,97.5
528.184520,97.34
538.342180,97.34
548.499858,97.34
558.657382,97.18
568.815172,97.18
578.972638,97.03
589.130337,97.03
599.287913,97.03
609.445013,96.87
619.602671,96.87
629.759927,96.87
639.917360,96.71
650.074572,96.71
660.231008,96.71
670.387846,96.55
680.544976,96.55
690.702648,96.55
700.859092,96.39
711.016242,96.39
721.172825,96.23
731.329619,96.23
741.486267,96.23
751.643136,96.08
761.799970,96.08
771.956555,96.08
782.113428,95.92
792.270135,95.92
802.427260,95.76
812.583752,95.76
822.741143,95.76
832.897821,95.6
843.055131,95.6
853.212091,95.6
863.368937,95.45
873.526048,95.45
883.683301,95.29
893.840416,95.29
903.997075,95.29
914.154429,95.13
924.311540,95.13
934.469144,94.97
944.626236,94.97
954.783528,94.97
964.940613,94.81
975.097889,94.81
985.255107,94.81
995.412709,94.65
1005.569827,94.65
1015.727219,94.5
1025.884881,94.5
1036.042438,94.5
1046.199726,94.34
1056.357296,94.34
1066.514956,94.18
1076.672144,94.18
1086.829972,94.18
