time_seconds,power
13.2061,98.29
13.5037,98.29
13.7977,98.29
14.0959,98.29
14.3939,98.29
14.6895,98.29
14.9873,98.29
15.2846,98.29
15.5796,98.29
15.8764,98.29
16.1762,98.29
16.4720,98.29
16.5204,98.29
16.7684,98.29
17.0681,98.29
17.3616,98.29
17.4068,98.29
17.6603,98.29
17.9562,98.29
18.2603,98.29
18.3082,98.29
18.5513,98.29
18.8486,98.29
19.1466,98.29
19.4409,98.29
19.7390,98.29
20.0361,98.29
20.3319,98.29
20.6307,98.29
20.6758,98.29
20.9290,98.29
21.2233,98.29
21.5212,98.29
21.5749,98.29
21.8170,98.29
22.1132,98.29
22.4102,98.29
22.4652,98.29
22.7085,98.29
23.0039,98.29
23.3011,98.29
23.5989,98.29
23.6558,98.29
23.8961,98.29
24.1934,98.29
24.4898,98.29
24.5405,98.29
24.7882,98.29
25.0839,98.29
25.3817,98.29
25.4373,98.29
25.6794,98.29
25.9748,98.29
26.3010,98.29
26.6300,98.29
26.9540,98.29
27.2663,98.29
27.5726,98.29
27.6234,98.29
27.8800,98.29
28.1874,98.29
28.4940,98.29
28.5414,98.29
28.8018,98.29
24.9060,97.66
25.2285,97.66
25.5532,97.66
25.8762,97.66
26.1994,97.66
26.5235,97.66
26.8475,97.66
27.1710,97.66
27.4943,97.66
27.8178,97.66
28.1423,97.66
28.4664,97.66
28.7894,97.66
29.1130,97.66
29.4360,97.66
29.7604,97.66
30.0846,97.66
30.4079,97.66
125.8602,100.03
126.1817,100.03
126.5054,100.03
126.8263,100.03
127.1518,100.03
127.4748,100.03
127.8026,100.03
128.1267,100.03
128.4503,100.03
128.7743,100.03
129.0986,100.03
129.4224,100.03
129.4762,100.03
129.7463,100.03
130.0702,100.03
130.3949,100.03
130.4526,100.03
130.7204,100.03
131.0439,100.03
131.3683,100.03
131.4297,100.03
131.6923,100.03
132.0163,100.03
132.3400,100.03
132.6615,100.03
132.9853,100.03
133.3129,100.03
133.6369,100.03
133.9609,100.03
134.2851,100.03
134.6094,100.03
134.9331,100.03
135.2582,100.03
135.5818,100.03
135.9061,100.03
136.2347,100.03
136.5538,100.03
136.8856,100.03
137.2051,100.03
137.5275,100.03
137.8564,100.03
138.1744,100.03
138.4980,100.03
138.8226,100.03
139.1456,100.03
139.4693,100.03
139.7958,100.03
140.1214,100.03
140.4433,100.03
140.7677,100.03
141.0921,99.88
141.4187,99.88
141.7413,99.88
142.0649,99.88
142.3906,99.88
142.7121,99.88
143.0375,99.88
143.3612,99.88
143.6842,99.88
144.0098,99.88
144.3336,99.88
144.6603,99.88
144.9813,99.88
145.5325,99.88
145.8531,99.88
146.1738,99.88
146.5040,99.88
146.8253,99.88
147.1505,99.88
147.4754,99.88
147.8022,99.88
148.1248,99.88
148.4460,99.88
148.7702,99.88
149.0939,99.88
149.4178,99.88
149.7449,99.88
150.0669,99.88
150.3913,99.88
150.7152,99.88
151.0387,99.88
151.3633,99.88
151.6875,99.88
152.0113,99.88
152.3364,99.88
152.6601,99.88
153.0467,99.88
153.3537,99.88
153.6324,99.88
153.9563,99.88
154.2805,99.88
154.6283,99.88
154.9290,99.88
155.2533,99.88
155.5818,99.88
155.9187,99.88
156.2252,99.88
156.5493,99.88
156.8726,99.88
157.1981,99.88
157.5217,99.88
157.8479,99.88
158.1712,99.88
158.4951,99.88
158.8206,99.88
159.1438,99.88
159.4677,99.88
159.7919,99.88
160.1170,99.88
160.4409,99.88
160.7650,99.88
161.0891,99.88
161.4130,99.88
161.7374,99.88
162.0624,99.88
162.3884,99.88
162.7118,99.88
163.0348,99.88
163.3598,99.88
163.6838,99.88
164.0080,99.88
164.0577,99.88
164.3328,99.88
164.6572,99.88
164.9813,99.88
165.0362,99.88
165.3059,99.88
165.6291,99.88
165.9531,99.88
166.0122,99.88
166.2795,99.88
166.6031,99.88
166.9272,99.88
167.2521,99.88
167.5758,99.88
167.6365,99.88
167.8999,99.88
168.2250,99.88
168.5496,99.88
168.5973,99.88
168.8740,99.88
169.1965,99.88
169.5211,99.88
169.8460,99.88
170.1693,99.88
170.4932,99.88
170.8170,99.88
171.1405,99.88
171.4647,99.88
29.1097,99.24
29.4333,99.24
29.7614,99.24
30.0843,99.24
30.4179,99.24
30.7288,99.24
31.0690,99.24
31.3777,99.24
31.6994,99.24
32.0196,99.24
32.3477,99.24
32.6776,99.24
32.9952,99.24
33.3213,99.24
33.6453,99.24
33.9798,99.24
34.2916,99.24
34.6213,99.24
34.9544,99.24
35.2727,99.24
35.5874,99.24
35.9109,99.24
36.2355,99.24
36.5588,99.24
36.8827,99.24
37.2074,99.24
37.5311,99.24
37.8560,99.24
38.1792,99.24
38.5040,99.24
38.8271,99.24
39.1523,99.24
39.4748,99.24
39.7988,99.24
40.1225,99.24
40.4459,99.24
40.7710,99.24
41.0937,99.24
41.4182,99.24
58.1557,99.08
58.4761,99.08
59.0230,99.08
59.3469,99.08
59.6708,99.08
59.9952,99.08
61.4087,99.08
61.7359,99.08
62.0602,99.08
62.3844,99.08
62.7077,99.08
63.0326,99.08
63.3554,99.08
63.6798,99.08
64.0059,99.08
64.5495,99.08
64.8748,99.08
65.1983,99.08
65.5228,99.08
65.8472,99.08
66.1703,99.08
66.4948,99.08
66.8188,99.08
67.1424,99.08
67.4678,99.08
67.7916,99.08
68.1157,99.08
68.4396,99.08
68.7633,99.08
69.0879,99.08
69.4114,99.08
69.7361,99.08
70.0607,99.08
70.3841,99.08
71.5777,99.08
71.9017,99.08
72.2252,99.08
72.5494,99.08
72.8725,99.08
73.1965,99.08
73.5205,99.08
73.8446,99.08
74.1686,99.08
74.4930,99.08
74.8169,99.08
75.1404,99.08
75.4634,99.08
75.7871,99.08
76.1115,99.08
76.4356,99.08
76.7625,99.08
77.0860,99.08
77.4070,99.08
77.7324,99.08
78.0558,99.08
78.3832,99.08
78.7035,99.08
79.0276,99.08
79.3516,99.08
79.6769,99.08
80.0009,99.08
80.3244,99.08
80.6514,99.08
81.7450,99.08
82.0662,99.08
82.3915,99.08
82.7189,99.08
83.0402,99.08
83.3636,99.08
83.6895,99.08
84.0123,99.08
84.3352,99.08
84.6606,99.08
84.9826,99.08
85.3067,99.08
85.6310,99.08
85.9593,99.08
86.2797,99.08
86.6060,99.08
86.9275,99.08
87.2513,99.08
87.5745,99.08
87.9027,99.08
88.2221,99.08
88.5485,99.08
88.8705,99.08
89.1953,99.08
89.5186,99.08
89.8425,99.08
90.1666,99.08
90.4904,99.08
90.8143,99.08
91.9114,99.08
92.2318,99.08
92.5571,99.08
92.8805,99.08
93.2030,99.08
93.5284,99.08
93.8525,99.08
94.1763,99.08
94.4994,99.08
94.8236,99.08
95.1471,99.08
95.4717,99.08
95.7955,99.08
96.1196,99.08
96.4431,99.08
96.7675,99.08
97.0915,99.08
97.4144,99.08
97.7387,99.08
98.0626,99.08
98.3865,99.08
98.7103,99.08
99.0350,99.08
99.3583,99.08
99.6824,99.08
100.0063,99.08
100.3313,99.08
100.6546,99.08
100.9758,99.08
102.0751,99.08
102.3981,99.08
102.7222,99.08
103.0470,99.08
103.3699,99.08
103.6928,99.08
104.0174,99.08
13.8303,99.08
13.9902,99.08
14.1516,99.08
14.4766,99.08
14.8022,99.08
14.9911,99.08
15.1248,99.08
15.4485,99.08
15.7717,99.08
15.9944,99.08
16.0969,99.08
16.4202,99.08
16.7439,99.08
17.0693,99.08
17.3305,99.08
17.3920,99.08
17.7161,99.08
18.0398,99.08
18.3639,99.08
18.3888,99.08
18.6880,99.08
19.0119,99.08
19.3362,99.08
19.6600,99.08
19.9820,99.08
20.3082,99.08
20.6319,99.08
20.9576,99.08
21.2766,99.08
21.6040,99.08
21.9292,99.08
22.0616,99.08
22.2522,99.08
22.5728,99.08
22.9004,99.08
23.2882,99.08
23.9925,99.08
24.3168,99.08
24.6405,99.08
24.9613,99.08
25.2873,99.08
25.6124,99.08
25.9360,99.08
26.2602,99.08
26.5841,99.08
26.9179,99.08
27.2326,99.08
27.5559,99.08
27.8801,99.08
28.2042,99.08
28.5286,99.08
28.8538,99.08
28.8545,99.08
29.1762,99.08
29.4998,99.08
29.8240,99.08
29.8541,99.08
30.1479,99.08
30.4737,99.08
30.7973,99.08
30.8556,99.08
31.1201,99.08
31.4475,99.08
31.7693,99.08
32.0921,99.08
32.1923,99.08
32.4155,99.08
32.7401,99.08
33.0640,99.08
33.1944,99.08
34.1582,99.08
34.3073,99.08
34.4817,99.08
34.8061,99.08
35.1303,99.08
35.4537,99.08
35.7783,99.08
35.8713,99.08
36.1030,99.08
36.4266,99.08
36.7484,99.08
36.8724,99.08
37.0732,99.08
37.3965,99.08
37.7220,99.08
37.9913,99.08
38.0471,99.08
38.3690,99.08
38.6929,99.08
39.0165,99.08
39.3416,99.08
39.3744,99.08
39.6650,99.08
39.9892,99.08
40.3144,99.08
40.6373,99.08
40.6548,99.08
40.9623,99.08
41.2878,99.08
41.6116,99.08
41.9359,99.08
42.2603,99.08
42.5802,99.08
42.9043,99.08
43.1042,99.08
43.2282,99.08
44.3244,99.08
44.3284,99.08
44.6480,99.08
44.9756,99.08
45.2962,99.08
45.6202,99.08
45.9456,99.08
46.2681,99.08
