time_seconds,power
11.7581,97.18
11.8109,97.18
12.0759,97.18
12.1220,97.18
12.4013,97.18
12.4528,97.18
12.7275,97.18
12.7864,97.18
13.0533,97.18
13.1061,97.18
13.3796,97.18
13.4405,97.18
13.7051,97.18
13.7587,97.18
14.0294,97.18
14.0935,97.18
14.3549,97.18
14.4080,97.18
14.6813,97.18
14.7393,97.18
15.0075,97.18
15.0561,97.18
15.3319,97.18
15.3891,97.18
15.6592,97.18
15.7200,97.18
15.9847,97.18
16.0215,94.50
16.0386,97.18
16.3113,97.18
16.3670,97.18
16.6372,97.18
16.6968,97.18
16.9610,97.18
17.0206,97.18
17.2790,97.18
17.3267,97.18
17.5959,97.18
17.6469,97.18
17.9127,97.18
17.9703,97.18
18.2326,97.18
18.2803,97.18
18.5525,97.18
18.6057,97.18
18.8689,97.18
18.9318,97.18
19.1898,97.18
19.2400,97.18
19.5093,97.18
19.5560,97.18
19.8279,97.18
19.8823,97.18
20.1492,97.18
20.2103,97.18
20.4672,97.18
20.5185,97.18
20.7899,97.18
20.8465,97.18
21.1119,97.18
21.1607,97.18
21.4322,97.18
21.4898,97.18
21.7563,97.18
21.8039,97.18
22.0746,97.18
22.1295,97.18
22.3962,97.18
22.4430,97.18
22.7190,97.18
22.7716,97.18
23.0401,97.18
23.0975,97.18
23.3635,97.18
23.4252,97.18
23.6846,97.18
23.7395,97.18
24.0084,97.18
24.0573,97.18
24.3301,97.18
24.3871,97.18
24.6529,97.18
24.7030,97.18
24.9760,97.18
25.0317,97.18
25.2985,97.18
25.3499,97.18
25.6221,97.18
25.6808,97.18
25.9757,97.18
26.0334,97.18
26.0366,94.50
26.2679,97.18
26.3276,97.18
26.5922,97.18
26.6421,97.18
26.9158,97.18
26.9742,97.18
27.2399,97.18
27.2872,97.18
27.5638,97.18
27.6198,97.18
27.8870,97.18
27.9474,97.18
28.2110,97.18
28.2600,97.18
28.5353,97.18
28.5893,97.18
28.8591,97.18
28.9163,97.18
29.1842,97.18
29.2318,97.18
29.5084,97.18
29.5650,97.18
29.8325,97.18
29.8802,97.18
30.1575,97.18
30.2148,97.18
30.4838,97.18
30.5421,97.18
30.8069,97.18
30.8609,97.18
31.1312,97.18
31.1779,97.18
31.4563,97.18
31.5165,97.18
31.7823,97.18
31.8285,97.18
32.1073,97.18
32.1594,97.18
32.4289,97.18
32.4771,97.18
32.7568,97.18
32.8030,97.18
33.0819,97.18
33.1320,97.18
33.4071,97.18
33.4612,97.18
33.7323,97.18
33.7937,97.18
34.0568,97.18
34.1118,97.18
34.3827,97.18
34.4411,97.18
34.7070,97.18
34.7573,97.18
35.0331,97.18
35.0896,97.18
35.3586,97.18
35.4085,97.18
35.6839,97.18
35.7423,97.18
36.0087,97.18
36.0595,97.18
36.2113,94.50
36.3353,97.18
36.3921,97.18
36.6600,97.18
36.7066,97.18
36.9850,97.18
37.0395,97.18
37.3106,97.18
37.3715,97.18
37.6363,97.18
37.6896,97.18
37.9625,97.18
38.0232,97.18
38.3023,97.18
38.3684,97.18
38.6197,97.18
38.6870,97.18
38.9401,97.18
39.0061,97.18
39.2743,97.18
39.3406,97.18
39.5931,97.18
39.6601,97.18
39.9285,97.18
39.9944,97.18
40.2415,97.18
40.2878,97.18
40.5660,97.18
40.6215,97.18
40.8922,97.18
40.9539,97.18
41.2191,97.18
41.2721,97.18
41.5438,97.18
41.6045,97.18
41.8699,97.18
41.9205,97.18
42.1954,97.18
42.2504,97.18
42.5233,97.18
42.5840,97.18
42.8476,97.18
42.9018,97.18
43.1732,97.18
43.2186,97.18
43.4976,97.18
43.5558,97.18
43.8233,97.18
43.8721,97.18
44.1502,97.18
44.2057,97.18
44.4722,97.18
44.5271,97.18
44.8019,97.18
44.8585,97.18
45.1274,97.18
45.1744,97.18
45.4530,97.18
45.5036,97.18
45.7787,97.18
45.8260,97.18
46.1045,97.18
46.1615,97.18
46.4251,94.50
46.4309,97.18
46.4926,97.18
46.7560,97.18
46.8081,97.18
47.0819,97.18
47.1440,97.18
47.4080,97.18
47.4646,97.18
47.7337,97.18
47.7959,97.18
48.0599,97.18
48.1138,97.18
48.3856,97.18
48.4432,97.18
48.7117,97.18
48.7590,97.18
49.0336,97.18
49.0835,97.18
49.3504,97.18
49.4103,97.18
49.6679,97.18
49.7191,97.18
49.9844,97.18
50.0418,97.18
50.3034,97.18
50.3550,97.18
50.6214,97.18
50.6811,97.18
50.9395,97.18
50.9891,97.18
51.2592,97.18
51.3144,97.18
51.5786,97.18
51.6250,97.18
51.8972,97.18
51.9494,97.18
52.2182,97.18
52.2753,97.18
52.5376,97.18
52.5894,97.18
52.8588,97.18
52.9145,97.18
53.1789,97.18
53.2290,97.18
53.4998,97.18
53.5573,97.18
53.8197,97.18
53.8711,97.18
54.1412,97.18
54.1902,97.18
54.4635,97.18
54.5138,97.18
54.7842,97.18
54.8427,97.18
55.1060,97.18
55.1533,97.18
55.4283,97.18
55.4811,97.18
55.7505,97.18
55.7959,97.18
56.0727,97.18
56.1219,97.18
56.3965,97.18
56.4528,97.18
56.4954,94.50
56.7181,97.18
56.7672,97.18
57.0407,97.18
57.0917,97.18
57.3641,97.18
57.4171,97.18
57.6884,97.18
57.7448,97.18
58.0111,97.18
58.0602,97.18
58.3342,97.18
58.3909,97.18
58.6570,97.18
58.7089,97.18
58.9811,97.18
59.0401,97.18
59.3046,97.18
59.3563,97.18
59.6303,97.18
59.6872,97.18
59.9535,97.18
60.0056,97.18
60.2780,97.18
60.3328,97.18
60.6009,97.18
60.6479,97.18
60.9261,97.18
60.9811,97.18
61.2498,97.18
61.2988,97.18
61.5743,97.18
61.6248,97.18
61.8993,97.18
61.9554,97.18
62.2237,97.18
62.2700,97.18
62.5479,97.18
62.5992,97.18
62.8722,97.18
62.9294,97.18
63.1972,97.18
63.2477,97.18
63.5229,97.18
63.5812,97.18
63.8472,97.18
63.9077,97.18
64.1737,97.18
64.2228,97.18
64.4993,97.18
64.5546,97.18
64.8234,97.18
64.8708,97.18
65.1480,97.18
65.2049,97.18
65.4734,97.18
65.5347,97.18
65.7986,97.18
65.8511,97.18
66.1244,97.18
66.1846,97.18
66.4502,97.18
66.4971,97.18
66.6541,94.50
66.7743,97.18
66.8273,97.18
67.0994,97.18
67.1547,97.18
67.4240,97.18
67.4726,97.18
67.7498,97.18
67.8068,97.18
68.0751,97.18
68.1245,97.18
68.4007,97.18
68.4538,97.18
68.7261,97.18
68.7864,97.18
69.0519,97.18
69.0983,97.18
69.3770,97.18
69.4281,97.18
69.7033,97.18
69.7611,97.18
70.0274,97.18
70.0802,97.18
70.3550,97.18
70.4119,97.18
70.6796,97.18
70.7287,97.18
71.0064,97.18
71.0641,97.18
71.3309,97.18
71.3934,97.18
71.6573,97.18
71.7099,97.18
71.9828,97.18
72.0407,97.18
72.3087,97.18
72.3584,97.18
72.6347,97.18
72.6931,97.18
72.9600,97.18
73.0103,97.18
73.2865,97.18
73.3416,97.18
73.6117,97.18
73.6585,97.18
73.9377,97.18
73.9943,97.18
74.2634,97.18
74.3274,97.18
74.5890,97.18
74.6390,97.18
74.9152,97.18
74.9677,97.18
75.2416,97.18
75.2976,97.18
75.5668,97.18
75.6193,97.18
75.8931,97.18
75.9520,97.18
76.2197,97.18
76.2717,97.18
76.5451,97.18
76.6064,97.18
76.8620,94.50
76.8705,97.18
76.9240,97.18
77.1971,97.18
77.2588,97.18
77.5229,97.18
77.5703,97.18
77.8490,97.18
77.9066,97.18
78.1745,97.18
78.2231,97.18
78.5011,97.18
78.5601,97.18
78.8263,97.18
78.8778,97.18
79.1538,97.18
79.2014,97.18
79.4795,97.18
79.5339,97.18
79.8052,97.18
79.8655,97.18
80.1311,97.18
80.1857,97.18
80.4572,97.18
80.5166,97.18
80.7828,97.18
80.8361,97.18
81.1037,97.18
81.1618,97.18
81.4216,97.18
81.4750,97.18
81.7395,97.18
