time_seconds,power
0.000000,98.29
0.371706,99.56
2.225824,98.29
2.597459,99.56
4.451513,98.29
4.823228,99.56
6.677222,98.29
7.048974,99.56
8.902994,98.29
10.228045,99.56
11.128821,98.29
12.453980,99.56
13.354625,98.29
14.679682,99.56
15.580483,98.29
16.905415,99.56
17.805463,98.29
19.131181,99.56
20.031223,98.29
21.356059,99.56
22.256939,98.29
23.581690,99.56
24.482595,98.29
25.807416,99.56
26.708446,98.29
28.033217,99.56
28.934178,98.29
30.543976,99.56
31.159834,98.29
32.769650,99.56
33.385505,98.29
34.995403,99.56
35.611267,98.29
37.221193,99.56
37.836215,98.29
39.446852,99.56
40.061932,98.29
41.671954,99.56
42.287642,98.29
43.897688,99.56
44.513369,98.29
46.123438,99.56
46.739122,98.29
48.349169,99.56
48.965039,98.29
50.860403,99.56
51.190768,98.29
53.086213,99.56
53.416599,98.29
55.311987,99.56
55.641073,98.29
57.537642,99.56
57.865903,98.29
59.763463,99.56
60.091723,98.29
61.988704,99.56
62.317456,98.29
64.214530,99.56
64.543222,98.29
66.440322,99.56
66.768984,98.29
68.666069,99.56
68.994806,98.29
71.177659,99.56
71.220669,98.29
73.446361,98.29
73.403342,99.56
75.629028,99.56
75.671997,98.29
77.854718,99.56
77.896860,98.29
80.080388,99.56
80.122520,98.29
82.305821,99.56
82.348369,98.29
84.531547,99.56
84.574133,98.29
86.757246,99.56
86.799791,98.29
88.982939,99.56
89.025547,98.29
91.251272,98.13
91.495153,99.56
93.477114,98.13
93.720916,99.4
95.702920,98.13
95.946593,99.4
97.927838,98.13
98.172292,99.4
100.153480,98.13
100.398044,99.4
102.379181,98.13
102.623047,99.4
104.605021,98.13
104.848770,99.4
106.829302,98.13
107.074606,99.4
109.054959,98.13
109.300407,99.4
111.280630,98.13
111.811162,99.4
113.506292,98.13
114.036937,99.4
115.732102,98.13
116.262623,99.4
117.956935,98.13
118.488318,99.4
120.182567,98.13
120.714028,99.4
122.408260,98.13
122.939624,99.4
124.633921,98.13
125.165340,99.4
126.859704,98.13
127.389716,99.4
129.085413,98.13
129.615538,99.4
131.309287,98.13
132.126009,99.4
133.534914,97.98
134.351730,99.24
135.760534,97.98
136.577548,99.24
137.985259,97.98
138.803350,99.24
140.210413,97.98
141.029110,99.24
142.436049,97.98
143.254493,99.24
144.661675,97.98
145.480174,99.24
146.887306,97.98
147.705919,99.24
149.113163,97.98
149.931694,99.24
151.338860,97.98
152.439582,99.24
153.564506,97.98
154.665356,99.24
155.789271,97.98
156.891065,99.24
158.014058,97.98
159.116745,99.24
160.239862,97.98
161.342691,99.24
162.465554,97.98
163.568069,99.24
164.691223,97.98
165.793731,99.24
166.917079,97.98
168.019487,99.24
169.142743,97.98
170.245278,99.24
171.368652,97.98
