time_seconds,power
0.000000,98.29
2.225824,98.29
4.451513,98.29
6.677222,98.29
8.902994,98.29
10.003571,99.56
11.128821,98.29
13.354625,98.29
15.580483,98.29
17.805463,98.29
20.031223,98.29
20.161585,99.56
22.256939,98.29
24.482595,98.29
26.708446,98.29
28.934178,98.29
30.319443,99.56
31.159834,98.29
33.385505,98.29
35.611267,98.29
37.836215,98.29
40.061932,98.29
40.477483,99.56
42.287642,98.29
44.513369,98.29
46.739122,98.29
48.965039,98.29
50.636030,99.56
51.190768,98.29
53.416599,98.29
55.641073,98.29
57.865903,98.29
60.091723,98.29
60.794185,99.56
62.317456,98.29
64.543222,98.29
66.768984,98.29
68.994806,98.29
70.953252,99.56
71.220669,98.29
73.446361,98.29
75.671997,98.29
77.896860,98.29
80.122520,98.29
81.112153,99.56
82.348369,98.29
84.574133,98.29
86.799791,98.29
89.025547,98.29
91.251272,98.13
91.270750,99.56
93.477114,98.13
95.702920,98.13
97.927838,98.13
100.153480,98.13
101.428669,99.4
102.379181,98.13
104.605021,98.13
106.829302,98.13
109.054959,98.13
111.280630,98.13
111.586642,99.4
113.506292,98.13
115.732102,98.13
117.956935,98.13
120.182567,98.13
121.744239,99.4
122.408260,98.13
124.633921,98.13
126.859704,98.13
129.085413,98.13
131.309287,98.13
131.901566,99.4
133.534914,97.98
135.760534,97.98
137.985259,97.98
140.210413,97.98
142.058036,99.24
142.436049,97.98
144.661675,97.98
146.887306,97.98
149.113163,97.98
151.338860,97.98
152.215213,99.24
153.564506,97.98
155.789271,97.98
158.014058,97.98
160.239862,97.98
162.372676,99.24
162.465554,97.98
164.691223,97.98
166.917079,97.98
169.142743,97.98
171.368652,97.98
172.529216,99.08
173.594291,97.82
175.820007,97.82
178.044765,97.82
180.270397,97.82
182.496498,97.82
182.686515,99.08
184.722194,97.82
186.947913,97.82
189.173662,97.82
191.399328,97.82
192.843729,99.08
193.625103,97.82
195.850754,97.82
198.075472,97.82
200.301154,97.82
202.526782,97.82
203.000512,99.08
204.752689,97.82
206.978327,97.82
209.203507,97.66
211.429146,97.66
213.157093,98.93
213.654783,97.66
215.880654,97.66
218.105512,97.66
220.331174,97.66
222.556818,97.66
223.313682,98.93
224.782449,97.66
227.008235,97.66
229.233918,97.66
231.459674,97.66
233.470334,98.93
233.685306,97.66
235.910306,97.66
238.135207,97.66
240.360945,97.66
242.586656,97.66
243.627028,98.93
244.812286,97.5
247.037921,97.5
249.263757,97.5
251.489301,97.5
253.714964,97.5
253.784199,98.77
255.940567,97.5
258.165422,97.5
260.390480,97.5
262.616149,97.5
263.941164,98.77
264.841848,97.5
267.067578,97.5
269.293295,97.5
271.519045,97.5
273.744765,97.5
274.097442,98.77
275.970339,97.5
278.195082,97.5
280.420821,97.34
282.646555,97.34
284.254295,98.61
284.872276,97.34
287.098133,97.34
